word	token.freq
näj	160
ru	160
timoteo	160
aq'a'	159
tik'asäs	158
proverbios	158
ab'äj	158
yeb'e	158
nuk'äm	157
xel	157
ape'	157
eqal	157
ruchi'	157
ch'ojib'äl	156
rachib'il	155
u	155
achiki	155
natïj	155
nikiya'	154
kejqalem	154
wuqu'	154
yeb'an	153
jaloj	153
kemon	153
nokisäx	153
chupan	153
nutz'ët	152
rute'	152
k'iyinem	152
que	151
k'o'	151
xya'	151
kib'anikil	151
jampe'	150
xq'ax	150
kitzij	149
yojruto'	149
cholk'aslemal	149
rïx	149
tüs	148
ranima	148
rujuna'	148
sipanïk	148
k'ojlib'äl	147
las	147
ni	146
rajawaren	146
tab'ana'	146
jarupe'	145
ruk'ayewal	144
qatata'	144
nb'anatäj	143
como	143
apóstol	141
chiköp	141
chanin	140
rajaw	140
nimaq'ij	140
pwaqil	140
congregación	139
ntel	139
choy	138
xtb'anatäj	138
royowal	138
nqatzijoj	137
job	137
manaq	137
chiqa	137
nqak'üt	137
rurayib'al	137
pixa'	137
npe	136
ko'öl	136
ruto'ik	135
töq	135
romanos	135
xqa	135
xeb'e	134
nb'anon	134
m	134
yeto'on	134
k'ayij	133
b'enäq	133
xtikïr	133
ruya'al	133
xya'öx	132
rupwaq	131
kito'ik	131
hebreos	131
daniel	130
xtk'oje'	129
qach'ab'äl	128
pa'äl	128
ruchajixik	128
ak'u'x	127
ixim	127
rach'alal	127
tojtob'enïk	127
nkina'	127
yojch'on	126
uxnaqil	126
xe'ok	125
säq	125
kalk'wal	125
k'isel	125
qik'in	125
rajilab'al	125
aq'omanel	124
xutzijoj	124
narayib'ej	124
tat	124
kijuna'	123
kanima	123
je'	123
ul	123
chara	122
maría	122
nb'e	122
ch'ob'oj	122
ki	122
alab'oni'	122
chuqa	122
rutz'etik	122
pamaj	121
to'ïk	121
santa	121
xe'	121
santiago	121
kiya'on	121
b'eyomäl	121
ruch'akul	121
rin	121
tojb'alil	120
ch'ich'	120
nuk'utuj	120
nuna'	119
nutzijoj	119
yecha'	119
nata'	119
rixjayil	118
taya'	118
chitüy	118
i'	118
ruch'ojib'al	118
rusolik	118
nawïl	117
to	117
nub'	117
xetikïr	116
karne'l	116
xamanil	115
xkitz'ët	115
achamaq'i'	114
tijoxela'	114
juley	114
aninäq	114
ruwujil	114
xuk'utuj	113
ruwinaq	113
nn	113
mas	113
xtpe	113
xinb'än	112
porque	112
abrahán	112
awalk'wal	112
tinamital	112
xaxe	111
juk'al	111
solïk	111
chuxe'	111
nketamaj	111
xkajo'	111
q'ijunïk	110
qakuqub'ab'äl	110
guatemala	110
por	110
yojch'ob'on	109
ralk'wal	109
kik'	109
janipe'	109
pär	109
taqoxela'	109
kotz'i'j	109
xtab'än	108
öj	108
ncha'	108
k'amb'äl	108
xch'on	107
nuwäch	107
uxlanem	107
anima'i'	107
kochoch	107
ruximon	107
no	107
xb'anon	107
kaminäq	106
nqak'utuj	106
nkitz'ët	106
rutojik	106
loq'oj	105
h	105
tiya'	104
ik'ch'umil	104
josué	103
kitinamit	103
nkik'üt	103
ä	103
ajil	102
waqi'	102
xkeb'e	102
ch	102
mama'	102
tijonela'	102
yech'on	102
xtkib'än	101
cha'on	101
naläx	100
kami	100
entonces	100
d	100
ruq'atb'äl	100
yekib'än	100
q'aton	100
xuk'äm	99
ketamab'al	99
kimoloj	99
ruxe'	98
nqïl	98
eva	98
ninwajo'	98
ral	98
xqab'än	97
juntir	97
runimajay	97
chiwe	97
jikïl	97
nik'o	97
xutäq	96
jesucristo	95
nuk'un	95
k'in	95
yojrajo'	95
saúl	94
xuna'	94
naqaj	94
awän	94
ati't	94
nsamäj	94
matyox	93
ruq'ajarik	93
nujikib'a'	93
texto	93
ruk'wan	93
achi'	92
xtuk'äm	92
urtusanïk	92
jacob	92
egipto	92
nkäm	91
awik'in	91
kumätz	91
aq'omab'äl	91
xaläx	91
toqa	91
porke	91
kib'anob'al	91
xtqab'än	90
ajlab'al	90
uxlanib'äl	90
jani'	90
nib'än	90
ruwa	90
qasamaj	90
waqxaqi'	90
piki	89
kich'ab'äl	89
ujer	89
rumak	89
chaq'a'	88
nilitäj	88
cristo	88
ruk'in	88
rixin	88
ruchituy	88
ach'alalri'ïl	88
kej	87
ruk'ojlem	87
marcos	87
renap	87
xkek'oje'	87
los	87
ruq'axomal	87
rub'in	87
b'aq	86
septiembre	86
q'axomal	86
k'a'	86
nuq'ajuj	86
qatinamit	86
xq'alajin	86
k'ichelaj	86
xretamaj	86
rub'ixik	86
parr	86
mil	86
pop	86
ruyon	86
nqak'äm	86
k'ulan	85
babilonia	85
mayoj	85
nuk'waj	85
krere'	85
xe'apon	85
niqab'ij	85
xe'el	85
nana'	84
nik'atzin	84
komo	84
pnud	84
manjun	84
tatzu'	84
qas	84
ajolom	84
rik'	84
yek'oje'	83
nrokisaj	83
nipe	83
yekäm	83
nk'is	82
es	82
cha'onïk	82
tijonel	82
mat	82
rajowab'äl	82
ch'onïk	82
s	81
xk'is	81
chi'	81
ak'aslem	81
tzijol	81
kib'eyal	81
kijujunal	81
jeremías	80
tiyo	80
ritzelal	80
ajq'ij	80
xuk'waj	80
pa'	80
ruyonil	79
noé	79
rub'onil	79
agosto	79
chike	79
gén	79
kitata'	79
nq'aton	79
kaqchi'	79
nkitzijoj	79
kiwujil	79
nqana'	79
internet	78
nkokisaj	78
nkisamajij	78
ye'el	78
nuto'	78
nq'axon	78
koköj	77
jotöl	77
rusamajel	77
xtuchüp	77
reyes	77
b'	77
tz'ib'atäl	77
q'opoj	77
kilon	77
yeruto'	77
ch'uti'	77
wik'in	76
w	76
kaminaqi'	76
kipam	76
xketamaj	76
xeruto'	76
molojri'il	76
ye'apon	76
para	76
xb'ïx	75
tojb'äl	75
rub'	75
diciembre	75
taq'aj	75
mok	75
yeb'anatäj	75
nto'on	74
wäy	74
xeq'ax	74
nisamäj	74
ye	74
alaj	74
rukusaxik	74
umül	74
rukamik	73
nkïl	73
rujikib'axik	73
ruk'waxik	73
ötz	73
tzyäq	73
nqanimaj	73
octubre	73
cholchi'	73
junamilal	73
nutz'ib'awuj	72
rajïl	72
kär	72
xuxib'ij	72
jül	72
qajolom	72
ix	72
tiempo	72
rajawal	72
ninb'än	72
ninya'	72
patan	72
raxnaqil	72
xtya'öx	72
véase	72
efesios	71
julio	71
costa	71
kayoxi'	71
rusujun	71
nb'ix	71
salomón	71
qawuj	71
awanima	70
rujachik	70
xekäm	70
taqanel	70
yerub'än	70
k'ajol	70
kaqchikela'	70
xtqatz'ët	70
nan	70
iwi'	69
indh	69
cha	69
jumül	69
xtqaya'	69
tab'ij	69
domingo	69
xik'o	69
éxodo	69
nuq'alajrisaj	69
xin	69
qij	69
xkïl	69
kach'alal	69
jikil	69
xtz'ukutäj	69
ak'ulaj	68
nkik'utuj	68
nqasik'ij	68
p	68
aaa	68
cha'onem	68
rutzijoxkil	68
viernes	68
xtqetamaj	68
jöb'	68
yeruya'	68
ruchitüy	68
nusamajij	67
wetaman	67
chuchi'	67
ruchajin	67
tetata'	67
to'ik	67
sik'inem	67
ana'oj	67
