word	freq	tone	vowel	rhyme	coda	heavy_syllable	average_info
zhua4ng	585	4	ua	uang	ng	T	8.89038157575
zhua3n	640	3	ua	uan	n	T	9.19276769242
zha1i	37	1	ai	ai	NA	T	9.99740534784
zhi4	6834	4	i	i	NA	F	6.04099930873
qi3ng	906	3	i	ing	ng	T	7.30309634386
ca1o	142	1	ao	ao	NA	T	10.0881714226
hua2ng	992	2	ua	uang	ng	T	4.9723448334
da4	8537	4	a	a	NA	F	6.49790433239
zhe3	2579	3	e	e	NA	F	4.36608688747
ce4	1393	4	e	e	NA	F	5.61342297941
da3ng	3017	3	a	ang	ng	T	5.6788335097
zhe4	16111	4	e	e	NA	F	5.75730412802
da2	2247	2	a	a	NA	F	5.75192138729
zhe1ng	1152	1	e	eng	ng	T	6.8482740841
na4o	74	4	ao	ao	NA	T	8.87838070702
gua1i	5	1	uai	uai	NA	T	10.7842568119
kua1	18	1	ua	ua	NA	T	12.3118925253
gua1n	6834	1	ua	uan	n	T	6.34987662995
dui1	35	1	ui	ui	NA	T	9.69711389336
za4o	1150	4	ao	ao	NA	T	7.43248171037
za4n	369	4	a	an	n	T	9.7851163122
