word	freq	tone	vowel	rhyme	coda	heavy_syllable	average_info
cho3ng	22	3	o	ong	ng	T	11.748980569
pia2o	7	2	iao	iao	NA	T	9.84835095036
cha4	130	4	a	a	NA	F	9.61086684675
bu2	1761	2	u	u	NA	F	7.92783809034
bu3	414	3	u	u	NA	F	8.32183237808
ge3ng	6	3	e	eng	ng	T	8.29422863862
qi2ng	2374	2	i	ing	ng	T	7.43773974199
qu3	1250	3	u	u	NA	F	6.20592758142
bu4	16213	4	u	u	NA	F	5.60101880547
ju2	1495	2	u	u	NA	F	7.33884695731
ju3	1629	3	u	u	NA	F	7.52882901055
ju1	365	1	u	u	NA	F	9.8737388722
nu2	2	2	u	u	NA	F	10.6676834495
bia3n	2089	3	ia	ian	n	T	2.21916609339
ju4	3179	4	u	u	NA	F	6.88759048898
shi3	2992	3	i	i	NA	F	5.8386006121
shu2	116	2	u	u	NA	F	10.1368701096
bia3o	3801	3	iao	iao	NA	T	6.24535092169
ze3n	574	3	e	en	n	T	9.23430676884
dia1n	23	1	ia	ian	n	T	11.6850299206
qu4	2392	4	u	u	NA	F	7.19040041694
lv4	1332	4	NA	NA	NA	T	6.01475517311
yua2n	7008	2	ua	uan	n	T	5.310014428
wa3ng	1408	3	a	ang	ng	T	7.72719486388
he2n	16	2	e	en	n	T	10.4667241393
lv3	887	3	NA	NA	NA	T	9.34179264842
lv2	1	2	NA	NA	NA	T	9.13930447711
go3ng	70	3	o	ong	ng	T	11.5687013622
ra2o	8	2	ao	ao	NA	T	11.3966826258
ra2n	2357	2	a	an	n	T	4.4943244661
ci3	1463	3	i	i	NA	F	6.25993763703
ci2	447	2	i	i	NA	F	8.5248372441
ci1	6	1	i	i	NA	F	3.91258981703
shi4	36321	4	i	i	NA	F	4.10802849247
yi2n	426	2	i	in	n	T	9.07675464507
ci4	3179	4	i	i	NA	F	5.36320972663
zha2o	8	2	ao	ao	NA	T	11.2458989482
kua1n	83	1	ua	uan	n	T	8.11291193874
ni2ng	309	2	i	ing	ng	T	7.27784576481
jia1n	3949	1	ia	ian	n	T	5.9991875183
jia1o	2559	1	iao	iao	NA	T	6.92584886761
tia4o	111	4	iao	iao	NA	T	11.0981795921
zhui1	208	1	ui	ui	NA	T	10.9289540317
qi4ng	573	4	i	ing	ng	T	6.39286188396
nia4o	14	4	iao	iao	NA	T	8.54557776981
cuo1	136	1	uo	uo	NA	T	10.4168125591
he3n	2281	3	e	en	n	T	8.07784385447
pi4n	54	4	i	in	n	T	8.79376860753
hu	37	NA	u	u	NA	F	6.49039669553
qie4	316	4	ie	ie	NA	T	7.9416180326
she1n	2095	1	e	en	n	T	7.93703942556
zho4ng	4141	4	o	ong	ng	T	5.64617811124
we1ng	22	1	e	eng	ng	T	9.96562854791
qie3	931	3	ie	ie	NA	T	2.62236840904
qie2	2	2	ie	ie	NA	T	8.28076149708
jia1	8360	1	ia	ia	NA	T	4.96736729673
jia2	2	2	ia	ia	NA	T	16.3740789291
go1ng	7585	1	o	ong	ng	T	6.66414280635
jia4	1469	4	ia	ia	NA	T	7.31153903912
ta1ng	31	1	a	ang	ng	T	10.5332282085
zhui4	74	4	ui	ui	NA	T	11.4629560574
he4	292	4	e	e	NA	F	7.60953506458
hua4	4520	4	ua	ua	NA	T	5.45425864423
hua2	2107	2	ua	ua	NA	T	6.52306224681
he1	64	1	e	e	NA	F	10.4434161053
he2	14831	2	e	e	NA	F	5.6758850052
hua1	359	1	ua	ua	NA	T	9.28451391396
sui3	5	3	ui	ui	NA	T	9.2329773564
sui2	659	2	ui	ui	NA	T	9.70926293367
sui1	379	1	ui	ui	NA	T	10.224596805
zhe	211	NA	e	e	NA	F	6.71139290975
na4n	78	4	a	an	n	T	7.81285747345
sui4	358	4	ui	ui	NA	T	8.52681343787
wa3	205	3	a	a	NA	F	8.22734689594
wa2	34	2	a	a	NA	F	7.45662555748
wa1	114	1	a	a	NA	F	9.27421963401
sa4	529	4	a	a	NA	F	9.19207429486
pa2ng	99	2	a	ang	ng	T	11.3522914034
die2	66	2	ie	ie	NA	T	8.04358704907
die1	117	1	ie	ie	NA	T	7.91031723232
chao	1	NA	ao	ao	NA	T	9.17101333684
huo1	1	1	uo	uo	NA	T	12.9903807766
me3ng	49	3	e	eng	ng	T	10.6815713629
lue4	408	4	ue	ue	NA	T	4.5479830389
ka4ng	356	4	a	ang	ng	T	9.40364067277
zha3i	5	3	ai	ai	NA	T	9.72086269722
a1o	7	1	ao	ao	NA	T	12.2904855863
a1n	2701	1	a	an	n	T	8.16282825055
ya2ng	924	2	a	ang	ng	T	7.44090643264
cha4n	3	4	a	an	n	T	14.2854656268
le2i	244	2	ei	ei	NA	T	9.06200720191
zo3u	688	3	ou	ou	NA	T	9.51915187319
sha3ng	105	3	a	ang	ng	T	7.24224367739
ge1ng	1091	1	e	eng	ng	T	9.24537759704
shua3i	2	3	uai	uai	NA	T	12.0189113487
da1n	1268	1	a	an	n	T	8.28304484034
zhe3n	74	3	e	en	n	T	10.0085791057
sha4i	7	4	ai	ai	NA	T	9.54217772907
da1i	90	1	ai	ai	NA	T	7.79492093139
jiu1	630	1	iu	iu	NA	T	4.95845120746
cho1ng	813	1	o	ong	ng	T	9.11011130376
dua4n	1476	4	ua	uan	n	T	6.06114343746
za2o	7	2	ao	ao	NA	T	8.76380227332
za2n	54	2	a	an	n	T	12.2632080817
che4n	26	4	e	en	n	T	11.0042776941
er	33	NA	e	er	r	T	8.52287353568
jiu4	8571	4	iu	iu	NA	T	6.68065497133
be1n	48	1	e	en	n	T	11.2933275603
nia1n	1	1	ia	ian	n	T	9.94277881352
to4u	453	4	ou	ou	NA	T	9.85368442686
ni4ng	10	4	i	ing	ng	T	12.1740229462
li3	6177	3	i	i	NA	F	5.76776334899
o3u	31	3	ou	ou	NA	T	11.8950555936
po3	1	3	o	o	NA	F	12.6949948029
cha2	1497	2	a	a	NA	F	4.69929858282
ca1n	1430	1	a	an	n	T	8.96254449191
cha1	149	1	a	a	NA	F	9.76565933257
zo4u	62	4	ou	ou	NA	T	8.22751860766
ka4n	3437	4	a	an	n	T	5.67223228571
ka4o	186	4	ao	ao	NA	T	9.7089243905
shi2	21223	2	i	i	NA	F	4.66835786415
qi4	2424	4	i	i	NA	F	6.54934782427
pi2	153	2	i	i	NA	F	10.3774232026
shi1	2507	1	i	i	NA	F	6.40709695855
qi1	4502	1	i	i	NA	F	6.15105503504
wa1n	1789	1	a	an	n	T	1.80108539675
qi3	2976	3	i	i	NA	F	7.61771432037
qi2	2914	2	i	i	NA	F	7.88851627242
yu4n	1811	4	u	un	n	T	6.58559662967
lia1o	1	1	iao	iao	NA	T	11.7357299953
e3r	1657	3	e	er	r	T	5.74632800949
lia3ng	3828	3	ia	iang	ng	T	7.72824476496
ti4	97	4	i	i	NA	F	9.3651576716
zho3u	2	3	ou	ou	NA	T	11.5621646901
qu2n	610	2	u	un	n	T	8.72011780034
chua4ng	604	4	ua	uang	ng	T	9.8872602035
ti1	38	1	i	i	NA	F	8.22732609903
ti2	5065	2	i	i	NA	F	4.65653309585
ti3	2421	3	i	i	NA	F	5.87897552844
na2	395	2	a	a	NA	F	9.37137195619
na3	273	3	a	a	NA	F	9.98154467154
so4u	3	4	ou	ou	NA	T	2.16940408398
qua3n	18	3	ua	uan	n	T	7.49603716456
na4	5803	4	a	a	NA	F	7.73560393171
jio3ng	16	3	io	iong	ng	T	11.545178707
fe3n	38	3	e	en	n	T	11.0514186499
chua2ng	65	2	ua	uang	ng	T	9.11237459793
yo1	20	1	o	o	NA	F	7.88237973508
