,	 NANA	53079.12924517675
di2	d i2	34887.90269579303
shi4	sh i4	21879.711884898537
.	 NANA	16182.83032063859
yi1	y i1	13222.64463735918
shi2	sh i2	12784.701008595623
za4i	z ai4	11787.731674890409
ge4	g e4	11770.262121610982
guo2	g uo2	11217.862798947732
bu4	b u4	9766.685079977422
zhe4	zh e4	9705.240444304956
he2	h e2	8934.170506454397
zho1ng	zh o1 ng	7664.31470255676
lia3o	l iao3	7600.46047332851
yo3u	y ou3	7537.811040878152
hui4	h ui4	6873.968016259937
da4o	d ao4	6675.778946296786
re2n	r e2 n	6371.567759879183
ta1	t a1	6280.0032047594295
ni2	n i2	5911.335390724631
yi3	y i3	5679.412010980518
wo3	w o3	5562.546723525043
me2n	m e2 n	5326.406555058309
dui4	d ui4	5293.877042055238
ji4	j i4	5220.986836992804
jiu4	j iu4	5163.156591654011
di4	d i4	5158.337404542445
da4	d a4	5142.675046429856
la2i	l ai2	5085.44719948001
jia1	j ia1	5036.050531586458
ji1	j i1	4968.581912024534
li4	l i4	4869.788576237432
yi4	y i4	4819.187111565989
go1ng	g o1 ng	4569.191780153503
ji4n	j i4 n	4515.578323537332
xia4n	x ia4 n	4481.241615367424
zhe4ng	zh e4 ng	4438.471329752276
sha4ng	sh a4 ng	4437.8689313633295
che2ng	ch e2 ng	4405.3394183602595
we2i	w ei2	4387.2674666918865
zhi1	zh i1	4248.113438845418
yua2n	y ua2 n	4221.607909731806
xi1n	x i1 n	4143.898517557805
zhi4	zh i4	4116.790590055246
gua1n	g ua1 n	4116.790590055246
zuo4	z uo4	4061.972336661183
ji1ng	j i1 ng	3949.9262363172734
ya4o	y ao4	3917.396723314203
wu3	w u3	3896.915178090048
nia2n	n ia2 n	3866.1928602538146
li3	l i3	3721.0148485178893
yi2	y i2	3696.918912960059
jia4n	j ia4 n	3695.714116182168
chu1	ch u1	3659.5702128454227
ho4u	h ou4	3640.2934643991584
fa1	f a1	3619.2095207860575
shuo1	sh uo1	3571.6200480593434
fa1ng	f a1 ng	3530.054559222087
e4r	 e4 r	3521.0185833879004
na4	n a4	3495.717851052179
we4i	w ei4	3463.1883380491086
me3i	m ei3	3436.08041054655
tia1n	t ia1 n	3424.032442767635
ye3	y e3	3365.5997990398973
she1ng	sh e1 ng	3352.949432872037
mi2n	m i2 n	3106.568491793226
qua2n	q ua2 n	3077.050970734884
ti2	t i2	3051.1478400102164
cha2ng	ch a2 ng	3044.5214577318134
xi1	x i1	3022.8351157297666
ji1n	j i1 n	3019.2207253960923
ji2	j i2	2999.341578560882
e4	 e4	2965.6072687799206
ne2ng	n e2 ng	2951.752105834168
qia2n	q ia2 n	2899.343445995888
duo1	d uo1	2811.995679598754
xia4	x ia4	2799.3453134308934
sa1n	s a1 n	2791.514134374599
xi2ng	x i2 ng	2743.924661647885
hua4	h ua4	2722.840718034784
qi1	q i1	2711.99754703376
ha2ng	h a2 ng	2697.5399856990625
ju1n	j u1 n	2670.4320581965035
she4	sh e4	2634.8905532487042
jia1ng	j ia1 ng	2612.6018128577116
mi2ng	m i2 ng	2610.1922193019286
si1	s i1	2605.3730321903627
ta2i	t ai2	2577.6627062988587
mia4n	m ia4 n	2557.7835594636485
xia4ng	x ia4 ng	2545.133193295788
guo4	g uo4	2498.1461189580195
zho4ng	zh o4 ng	2494.531728624345
do4ng	d o4 ng	2476.4597769559723
li2ng	l i2 ng	2434.894288118716
ha4o	h ao4	2425.85831228453
jia1n	j ia1 n	2378.871237946761
hua2n	h ua2 n	2360.799286278389
suo3	s uo3	2358.3896927226056
me	 eNA	2343.3297329989623
yu2	y u2	2331.884163608993
ba1	b a1	2309.5954232179997
mu4	m u4	2306.5834312732713
lia3ng	l ia3 ng	2305.981032884326
ba4o	b ao4	2292.728268327519
wu4	w u4	2292.1258699385735
bia3o	b iao3	2289.7162763827905
ke4	k e4	2286.7042844380617
ha3o	h ao3	2267.4275359917974
wa4i	w ai4	2218.030868098246
ka1i	k ai1	2215.6212745424637
zhu3	zh u3	2213.814079375626
be4i	b ei4	2193.9349325404164
ke3	k e3	2186.103753484122
da4n	d a4 n	2134.2974920347874
ba3i	b ai3	2131.2855000900586
fe1n	f e1 n	2127.671109756384
si4	s i4	2105.984767754337
a1	 a1	2096.948791920151
jue2	j ue2	2075.2624499181043
du1	d u1	2071.6480595844296
da1ng	d a1 ng	2071.0456611954837
ka4n	k a4 n	2070.443262806538
re4n	r e4 n	2066.2264740839173
yo2u	y ou2	2033.0945626919013
xia1n	x ia1 n	2032.4921643029556
sho3u	sh ou3	2030.082570747173
lia2n	l ia2 n	2022.8537900798237
fa3	f a3	2019.841798135095
zui4	z ui4	2010.2034239119632
yue4	y ue4	2008.9986271340717
dia3n	d ia3 n	2008.3962287451257
ri4	r i4	1989.119480298862
e2r	 e2 r	1983.69789479835
to2ng	t o2 ng	1977.6739109088926
yu4	y u4	1960.2043576294661
we4n	w e4 n	1952.975576962117
zhu4	zh u4	1925.2652510706125
ju4	j u4	1915.0244784585348
ci4	c i4	1915.0244784585348
da4i	d ai4	1896.3501284012166
ye4	y e4	1893.9405348454336
me2i	m ei2	1891.5309412896506
zha3n	zh a3 n	1878.2781767328443
jie2	j ie2	1876.470981566007
liu4	l iu4	1865.6278105649835
fu4	f u4	1852.375046008177
zha4n	zh a4 n	1819.243134616161
jiu3	j iu3	1819.243134616161
da3ng	d a3 ng	1817.4359394493235
zi4	z i4	1808.3999636151373
ga1o	g ao1	1807.7975652261914
shi3	sh i3	1802.3759797256798
zo3ng	z o3 ng	1799.363987780951
zhi3	zh i3	1798.7615893920054
qi3	q i3	1792.737605502548
fe1i	f ei1	1787.316020002036
la1	l a1	1779.4848409457416
da3o	d ao3	1778.2800441678498
yu3	y u3	1771.6536618894468
qi2	q i2	1755.3889053879113
be3n	b e3 n	1738.5217504974305
di4ng	d i4 ng	1677.6795132139098
xia1ng	x ia1 ng	1675.8723180470724
ne4i	n ei4	1643.945203432948
de2	d e2	1639.7284147103278
a1n	 a1 n	1627.078048542467
we2n	w e2 n	1619.849267875118
be3i	b ei3	1609.0060968740945
qu1	q u1	1601.7773162067454
du4	d u4	1572.2597951484038
lu4	l u4	1564.428616092109
shu4	sh u4	1562.019022536326
zhi2	zh i2	1557.1998354247603
ya2n	y a2 n	1556.5974370358144
zhe3	zh e3	1553.5854450910856
jia1o	j iao1	1541.5374773121707
a4n	 a4 n	1530.694306311147
zho1u	zh ou1	1515.0319481985578
yo4ng	y o4 ng	1510.2127610869918
shi1	sh i1	1510.2127610869918
pi2ng	p i2 ng	1508.4055659201545
xi4	x i4	1507.8031675312088
ba3o	b ao3	1505.3935739754259
yi1n	y i1 n	1504.1887771975341
xie1	x ie1	1498.1647933080767
ya4ng	y a4 ng	1483.7072319733788
ni3	n i3	1467.4424754718436
qi4	q i4	1460.2136948044947
ti3	t i3	1458.4064996376574
jia4o	j iao4	1454.1897109150373
xue2	x ue2	1445.7561334697966
na2n	n a2 n	1444.5513366919051
