t,cond
39.6230885827522,Original
32.8959936247563,Scrambled
34.1274145445633,Scrambled
34.105276070653,Scrambled
33.799903403791,Scrambled
34.5020628236404,Scrambled
33.8927118984973,Scrambled
33.3899135077134,Scrambled
34.4198999340383,Scrambled
33.0667130022498,Scrambled
33.6130777832846,Scrambled
33.0497328307929,Scrambled
33.019525433506,Scrambled
33.4974115617201,Scrambled
33.3914263798304,Scrambled
33.375915022577,Scrambled
34.4319897150316,Scrambled
32.7463714328782,Scrambled
33.7845718363067,Scrambled
33.1514006159496,Scrambled
33.396065884638,Scrambled
33.274873782501,Scrambled
35.2893223505285,Scrambled
33.688331639551,Scrambled
33.1975878013854,Scrambled
33.8892220342244,Scrambled
34.006933690232,Scrambled
33.9972320841688,Scrambled
33.6104214155794,Scrambled
33.9611027546607,Scrambled
33.805773305266,Scrambled
34.0575760597531,Scrambled
35.1053540718939,Scrambled
35.1999003949136,Scrambled
33.6412461380845,Scrambled
32.8049478111721,Scrambled
34.6676322331821,Scrambled
34.2094887055563,Scrambled
33.9030642428012,Scrambled
33.1869150219665,Scrambled
33.4735798488691,Scrambled
34.666140123961,Scrambled
33.0720933123712,Scrambled
34.2392843154147,Scrambled
33.9168560211233,Scrambled
33.3317195061251,Scrambled
32.5856890249752,Scrambled
34.3403030001577,Scrambled
34.2578019726151,Scrambled
34.4078361232029,Scrambled
33.2175794093649,Scrambled
34.6066485918781,Scrambled
33.490039814555,Scrambled
33.8657450386783,Scrambled
34.256048731215,Scrambled
33.9761605257866,Scrambled
33.6725933533884,Scrambled
33.033739874847,Scrambled
33.4610644006584,Scrambled
34.0773225144276,Scrambled
34.0997835096843,Scrambled
32.4344825391295,Scrambled
32.4338413888728,Scrambled
34.3431213799585,Scrambled
33.8391448159112,Scrambled
33.5714141554759,Scrambled
33.6190017103617,Scrambled
34.0873368501837,Scrambled
34.2545059228408,Scrambled
33.5953523709243,Scrambled
34.6370606539287,Scrambled
35.3114854176095,Scrambled
34.4094771236512,Scrambled
33.5054390150724,Scrambled
34.8113966579627,Scrambled
33.6121632375593,Scrambled
34.1838801218339,Scrambled
