kamutay	3	Noun		0	0	0	0
kUsur	1723	Noun		2	11.214330732108	2	11.214330732108
yasa	45352	Verb		25	181.625202267744	10	68.7728343120174
derece	4	Verb		1	2.19722457733622	0	0
ciro	8261	Noun		1	1.94591014905531	1	1.94591014905531
pekkan	758	Noun		2	9.06693178868083	2	9.06693178868083
yarat	99351	Verb		8	50.7633670383291	5	33.4902273486662
argUn	17	Noun		8	47.3407854056311	6	36.4061082407443
IGdIr	1572	Noun		1	3.61091791264422	1	3.61091791264422
Setaret	2	Noun		0	0	0	0
bolivya	796	Noun		0	0	0	0
lOp	7	Adj		9	43.9779419321154	1	1.6094379124341
gUlsUme	4	Noun		1	6.05208916892442	1	6.05208916892442
armonik	27	Adj		1	5.6937321388027	0	0
gUlgUn	162	Noun		5	15.149475561853	5	15.149475561853
agit	1892	Noun		9	45.970889485486	7	28.9948040153574
bozacI	143	Noun		3	11.543842567605	3	11.543842567605
enis	2727	Noun		6	28.8130318014268	6	28.8130318014268
ISIm	37	Noun		8	51.7786792181309	7	43.7244134101071
saire	19	Noun		11	54.2772619606145	10	48.3471900419471
cihaner	6	Noun		0	0	0	0
sitayiS	24	Noun		0	0	0	0
ekvador	817	Noun		1	5.93753620508243	1	5.93753620508243
saban	225	Noun		19	116.863440856749	19	113.966202411797
Civili	4	Verb		4	14.4765848586362	1	3.73766961828337
Cekic	17	Noun		8	66.2673320787181	5	35.1994912940238
mehtab	62	Noun		1	6.36302810354046	1	6.36302810354046
seCim	175245	Noun		8	54.2533416377077	8	51.4857961859072
etmen	1027	Verb		5	24.7956375594239	2	3.17805383034795
OvUnC	316	Noun		4	21.8531266412336	3	11.2584331353628
takiye	661	Noun		5	27.7471716811632	5	27.7471716811632
iSgalci	2431	Noun		0	0	0	0
CoGuda	7	Adj		0	0	0	0
gocuG	2	Noun		3	17.9616407933356	2	12.0923438802018
muhatab	2026	Noun		1	8.31678912707152	1	8.31678912707152
bOle	74	Noun		16	111.452811766581	12	73.004191436857
dISla	2605	Verb		2	13.1044987509708	2	8.83156587912106
iSaret	45372	Noun		3	16.3599832302344	2	7.67136092319064
sIyrIl	2645	Verb		2	6.95177216439891	0	0
duyuru	8451	Noun		3	19.7070990721064	2	9.62258246436337
cinslik	5	Noun		0	0	0	0
giyiniG	2	Adj		2	7.7591874385078	1	4.26267987704132
anlak	4	Noun		13	95.5267804884054	8	44.6636151070248
akipek	3	Noun		0	0	0	0
Olesiye	150	Adv		0	0	0	0
dUmtek	4	Noun		0	0	0	0
hagi	10358	Noun		7	43.5022103836177	3	23.1447015155625
keleme	263	Adj		6	35.8280995403916	3	17.1267924224282
savaSCI	4126	Noun		0	0	0	0
kIssa	410	Noun		3	27.4241097871828	3	27.4241097871828
bengisu	116	Noun		0	0	0	0
nasuh	441	Noun		2	7.81561053203519	2	7.81561053203519
vUcud	10424	Noun		1	9.17398754251038	1	9.17398754251038
eGrili	2	Adj		3	14.1294713016234	0	0
intibak	223	Noun		2	9.18768568141138	2	9.18768568141138
CIrpIcI	40	Noun		1	8.85680335672838	0	0
tIrs	88	Verb		6	35.282416678147	1	3.93182563272433
mutasIm	6	Noun		1	1.79175946922805	1	1.79175946922805
yeni	6564	Adj		16	97.5499005515172	5	26.8973087038819
penaltI	15898	Noun		0	0	0	0
hendek	620	Noun		1	3.58351893845611	1	3.58351893845611
zabIt	548	Noun		2	12.6152840607917	1	7.69530313496357
kocabal	25	Noun		1	5.76519110278484	1	5.76519110278484
Civile	41	Verb		2	7.47533923656674	2	4.49980967033027
barInaG	425	Noun		1	6.70196036600254	1	6.70196036600254
Samar	263	Noun		7	36.0451875562153	6	29.8988582985464
groston	28	Noun		0	0	0	0
donra	2	Noun		5	35.4209623283439	3	18.5014213003805
broS	185	Noun		3	18.0432694809629	2	8.09437844497296
kUplU	16	Noun		4	17.9276512259601	1	4.89034912822175
devirli	138	Adj		1	5.37989735354046	1	5.30826769740121
kayrak	40	Noun		9	54.8802960553255	8	49.6936199097647
kasaba	8423	Noun		3	11.0020998412042	1	3.2188758248682
tecviz	5	Noun		1	1.09861228866811	1	1.09861228866811
fer	154	Noun		26	171.127148743703	22	126.693942376014
gnl.	10	Noun		22	133.053768408826	11	64.185416210462
l	2237	Noun		0	0	0	0
aydIn	161	Adj		7	41.7255693060326	1	2.99573227355399
canan	1642	Noun		9	42.3328527464237	9	35.8757847537728
lazanya	58	Noun		0	0	0	0
firaz	2	Noun		5	31.49590684491	4	20.3019890144345
vaat	6183	Noun		9	54.0925177380319	9	54.0925177380319
toplama	7349	Adj		1	11.2839776011784	0	0
betim	155	Noun		7	35.5869213075331	7	35.5869213075331
CaGla	7	Verb		12	73.9866452502451	7	51.1182887024792
bordo	7702	Noun		3	12.9604842431939	3	12.9604842431939
kIz	64133	Noun		19	132.704833084879	12	76.8760267717187
tifUs	39	Noun		1	2.19722457733622	1	2.19722457733622
UrgUp	720	Noun		1	1.6094379124341	1	1.6094379124341
eryavuz	26	Noun		0	0	0	0
Oc	219	Noun		19	136.716055902828	15	91.0504112281476
sUrUm	5	Verb		7	40.8192014809238	3	17.9302585473583
osuruk	3	Noun		1	2.30258509299405	1	2.30258509299405
mitoz	18	Noun		2	6.14846829591765	2	6.14846829591765
kurgula	465	Verb		4	24.880016863337	4	24.5291558892637
kUCUG	774	Adj		3	26.5144815973712	1	11.0876045281507
keyif	4782	Noun		3	21.0065456679869	2	16.1313483447857
destek	9012	Verb		2	16.5814724964944	1	1.09861228866811
azerice	41	Adj		0	0	0	0
